product_id,total_orders,product_name,aisle_id,aisle
3098,253,Lavender Dish Soap,74,dish detergents
722,57,Snack Sticks Chicken & Rice Recipe Dog Treats,40,dog food care
19571,56,Organix Grain Free Chicken & Vegetable Dog Food,40,dog food care
23329,51,Organix Chicken & Brown Rice Recipe,40,dog food care
17471,49,Small Dog Biscuits,40,dog food care
35412,49,Select Tender Chicken with Vegetables & Brown Rice Dog Food Recipe,40,dog food care
7559,886,Cinnamon Rolls with Icing,105,doughs gelatins bake mixes
33043,603,Crescent Rolls,105,doughs gelatins bake mixes
13431,588,Flaky Biscuits,105,doughs gelatins bake mixes
27288,320,Chocolate Chip Cookie Dough,105,doughs gelatins bake mixes
16020,271,Original Crescent Rolls,105,doughs gelatins bake mixes
32734,1154,Spaghetti,131,dry pasta
12872,707,Penne Rigate,131,dry pasta
46522,681,Spaghetti Pasta,131,dry pasta
14168,609,Penne Pasta,131,dry pasta
5240,563,Spaghetti  No 12,131,dry pasta
11520,3183,Large Alfresco Eggs,86,eggs
18465,3065,Organic Grade A Free Range Large Brown Eggs,86,eggs
30233,2258,Organic Large Brown Grade AA Cage Free Eggs,86,eggs
32655,1864,Organic Large Grade AA Brown Eggs,86,eggs
33120,1502,Organic Egg Whites,86,eggs
44560,857,Kids Organic Chocolate Chip ZBars,3,energy granola bars
5322,710,Gluten Free Dark Chocolate Chunk Chewy with a Crunch Granola Bars,3,energy granola bars
41400,652,Crunchy Oats 'n Honey Granola Bars,3,energy granola bars
16254,579,ZBar Organic Chocolate Brownie Energy Snack,3,energy granola bars
17224,568,Oats & Honey Gluten Free Granola,3,energy granola bars
11123,437,Vitamin Water Zero Squeezed Lemonade,64,energy sports drinks
33452,435,Fruit Punch Sports Drink,64,energy sports drinks
41276,428,Energy Drink,64,energy sports drinks
31231,323,Vitamin Water Zero Rise Orange,64,energy sports drinks
31102,317,Sugar Free Energy Drink,64,energy sports drinks
33493,392,Cotton Swabs,44,eye ear care
18198,26,Triple Action Cleaning and Disinfecting Solution Twin Pack,44,eye ear care
21464,23,Multi-Purpose Contact Lens Solution,44,eye ear care
30058,20,Opti-Free Replenish Multi-Purpose Disinfecting Solution,44,eye ear care
21580,18,Multi-Purpose Disinfecting Solution,44,eye ear care
280,130,Makeup Remover Cleansing Towelettes,73,facial care
44614,78,Makeup Remover Cleansing Towelettes Refill,73,facial care
10732,68,Sensitive Skin Experts Cleansing Facial Wipes,73,facial care
2915,44,Cleansing Towelettes Night Calming Makeup Remover,73,facial care
4020,35,Gentle Skin Cleanser,73,facial care
19190,44,Curved Panty Liners,126,feminine care
20567,41,Organic Regular Cotton Tampons No Applicator,126,feminine care
9972,35,Pearl Regular Absorbency Unscented Tampons,126,feminine care
29978,35,Flushable Moist Wipes,126,feminine care
31043,33,Ultra Thin Regular Pads wth Wings,126,feminine care
39858,118,Hydrogen Peroxide,118,first aid
24291,30,Neosporin 24 Hour Infection Protection First Aid Antibiotic Ointment,118,first aid
48931,25,Hydrogen Peroxide 3%,118,first aid
30842,21,Hydrogen Peroxide Topical Solution,118,first aid
7343,20,Assorted Sheer Strip Bandages,118,first aid
31066,793,Aluminum Foil,85,food storage
48812,371,Variety Pack,85,food storage
31268,296,Sandwich Bags,85,food storage
44643,296,Gallon Freezer Bags,85,food storage
47865,255,Quart Storage Bags,85,food storage
30489,5156,Original Hummus,67,fresh dips tapenades
21019,1344,Roasted Red Pepper Hummus,67,fresh dips tapenades
40396,1235,Guacamole,67,fresh dips tapenades
13646,1154,Lemon Hummus,67,fresh dips tapenades
33129,1104,Classic Hummus,67,fresh dips tapenades
24852,34176,Banana,24,fresh fruits
13176,27889,Bag of Organic Bananas,24,fresh fruits
21137,19422,Organic Strawberries,24,fresh fruits
47209,14150,Organic Hass Avocado,24,fresh fruits
47626,13063,Large Lemon,24,fresh fruits
31717,5745,Organic Cilantro,16,fresh herbs
34126,4317,Organic Italian Parsley Bunch,16,fresh herbs
28842,3406,Bunched Cilantro,16,fresh herbs
43789,2111,Organic Basil,16,fresh herbs
13984,1346,Organic Mint,16,fresh herbs
39719,248,"Freshly Made. Filled with Creamy Ricotta, Aged Parmesan and Romano Cheeses Three Cheese Tortellini",12,fresh pasta
4193,174,"Ravioli, Spinach & Cheese",12,fresh pasta
2124,141,Cheese Ravioli,12,fresh pasta
165,106,Wild Chanterelle Mushroom Ravioli,12,fresh pasta
8057,101,Organic Chicken & Mozzarella Ravioli,12,fresh pasta
45007,8013,Organic Zucchini,83,fresh vegetables
22935,7897,Organic Yellow Onion,83,fresh vegetables
24964,7705,Organic Garlic,83,fresh vegetables
30391,7169,Organic Cucumber,83,fresh vegetables
4605,6104,Yellow Onions,83,fresh vegetables
2452,766,Naturals Chicken Nuggets,129,frozen appetizers sides
31766,631,Cheese Pizza Snacks,129,frozen appetizers sides
11440,609,Chicken Breast Tenders Breaded,129,frozen appetizers sides
17652,593,Air Chilled Breaded Chicken Breast Nuggets,129,frozen appetizers sides
1215,565,Kidz All Natural Baked Chicken Nuggets,129,frozen appetizers sides
7963,958,Gluten Free Whole Grain Bread,58,frozen breads doughs
18908,215,Pizza Dough,58,frozen breads doughs
44389,96,Gluten Free Original Baguettes,58,frozen breads doughs
45143,90,Organic Fillo Dough,58,frozen breads doughs
34282,87,Original Sandwich Bread,58,frozen breads doughs
37158,1170,Chicken & Maple Breakfast Sausage,52,frozen breakfast
9825,771,Organic Multigrain Waffles,52,frozen breakfast
30696,741,Eggo Homestyle Waffles,52,frozen breakfast
9515,620,Natural Classic Pork Breakfast Sausage,52,frozen breakfast
25753,595,Organic Homestyle Waffles,52,frozen breakfast
43889,309,Dark Chocolate Covered Banana,119,frozen dessert
11121,194,Original Whipped Topping,119,frozen dessert
41556,111,Pastry Kitchens Classic Puff Pastry,119,frozen dessert
14563,76,Puff Pastry Sheets,119,frozen dessert
22619,62,Cool Whipe Lite Whipped Topping,119,frozen dessert
16539,63,Orange Juice with Calcium,113,frozen juice
38959,37,"Smoothies, Strawberries Wild",113,frozen juice
1751,32,Organic Orange Juice Concentrate,113,frozen juice
12289,27,All Natural Smoothies Orange Dream Machine,113,frozen juice
17216,27,"Pitaya Dragonfruit Raw, Organic Smoothie Packs",113,frozen juice
42450,1258,Macaroni & Cheese,38,frozen meals
49075,1036,Organic Brown Rice,38,frozen meals
34217,663,Pesto Tortellini  Bowls,38,frozen meals
9124,591,Broccoli & Cheddar Bake Meal Bowl,38,frozen meals
47792,560,Organic Beans & Rice Cheddar Cheese Burrito,38,frozen meals
43504,798,Organic Chicken Strips,34,frozen meat seafood
12144,387,Gluten-Free Chicken Nuggets,34,frozen meat seafood
48287,373,Natural Chicken & Maple Breakfast Sausage Patty,34,frozen meat seafood
7862,353,Raw Shrimp,34,frozen meat seafood
9434,268,Bag of Large Lemons,34,frozen meat seafood
24561,957,Organic Cheese Frozen Pizza,79,frozen pizza
20345,814,Thin Crust Pepperoni Pizza,79,frozen pizza
5449,556,Margherita Pizza,79,frozen pizza
9741,524,Cheese Pizza,79,frozen pizza
5959,463,Four Cheese Thin Crust Pizza,79,frozen pizza
9076,4198,Blueberries,116,frozen produce
20995,2459,Organic Broccoli Florets,116,frozen produce
24489,2264,Organic Whole Strawberries,116,frozen produce
17948,2035,Frozen Organic Wild Blueberries,116,frozen produce
46802,1828,Pineapple Chunks,116,frozen produce
38944,567,Seven Grain Crispy Tenders,42,frozen vegan vegetarian
45364,348,California Veggie Burgers - 4 CT,42,frozen vegan vegetarian
15950,319,Chik'n Nuggets,42,frozen vegan vegetarian
2979,288,Beyond Beef Beefy Crumble,42,frozen vegan vegetarian
2002,222,"The \""World's Best\"" Veggie Burger",42,frozen vegan vegetarian
34448,1227,Original Veggie Straws,50,fruit vegetable snacks
5194,929,Organic Bunny Fruit Snacks Berry Patch,50,fruit vegetable snacks
13740,884,Organic Summer Strawberry Bunny Fruit Snacks,50,fruit vegetable snacks
26348,806,Mixed Fruit Fruit Snacks,50,fruit vegetable snacks
27690,573,Apple Cinnamon GoGo Squeez,50,fruit vegetable snacks
48395,660,Original Rice Pilaf Mix,63,grains rice dried goods
24009,620,Organic Long Grain White Rice,63,grains rice dried goods
3142,582,Organic Short Grain Brown Rice,63,grains rice dried goods
38650,551,Organic Red Lentils,63,grains rice dried goods
25005,468,Organic Green Lentils,63,grains rice dried goods
9550,445,Ancient Grain Original Granola,57,granola
18352,429,Flax Plus Organic Pumpkin Flax Granola,57,granola
31663,426,Vanilla Blueberry Clusters With Flax Seeds Granola,57,granola
34565,329,Peanut Butter Whole Grain Clusters,57,granola
812,322,Healthy Grains Oats & Honey Clusters with Toasted Coconut Gluten Free,57,granola
19513,62,Moroccan Argan Oil + Argan Stem Cell Triple Moisture Conditioner,22,hair care
7657,54,Hair Shampoos,22,hair care
27177,42,"Shampoo, Body Wash, Bubble Bath Coconut+Lemon",22,hair care
4341,33,Lavender Conditioner,22,hair care
10676,33,Classic Clean Anti-Dandruff Shampoo,22,hair care
22504,550,Organic Mountain Forest Amber Honey,29,honeys syrups nectars
5067,351,Original Syrup,29,honeys syrups nectars
18471,291,Organic Light Agave Nectar,29,honeys syrups nectars
34067,158,Organic Honey,29,honeys syrups nectars
40969,157,Pure Clover Honey,29,honeys syrups nectars
44422,1393,Organic Old Fashioned Rolled Oats,130,hot cereal pancake mixes
21543,682,Organic Quick Oats,130,hot cereal pancake mixes
47966,397,Old Fashioned Rolled Oats,130,hot cereal pancake mixes
49111,389,Original Instant Oatmeal,130,hot cereal pancake mixes
37464,385,Apple Cinnamon Instant Oatmeal,130,hot cereal pancake mixes
47672,1503,Uncured Hickory Smoked Sunday Bacon,106,hot dogs bacon sausage
5646,1077,Organic Turkey Bacon,106,hot dogs bacon sausage
27695,1034,Natural Chicken & Sage Breakfast Sausage,106,hot dogs bacon sausage
12456,943,Organic Sunday Bacon,106,hot dogs bacon sausage
9339,887,Organic Chicken & Apple Sausage,106,hot dogs bacon sausage
16965,1059,Chocolate Ice Cream,37,ice cream ice
32691,832,Vanilla Ice Cream,37,ice cream ice
12276,691,Chocolate Chip Cookie Dough Ice Cream,37,ice cream ice
20754,568,Mediterranean Mint Gelato,37,ice cream ice
2361,551,Mint Chip,37,ice cream ice
27398,175,Genuine Chocolate Flavor Syrup,103,ice cream toppings
39469,75,Organic Chocolate Flavored Syrup,103,ice cream toppings
30327,69,Organic Ice Cream Cones,103,ice cream toppings
11462,51,Organic Sugar Ice Cream Cones,103,ice cream toppings
16752,47,Merry Maraschino Pitted Cherries,103,ice cream toppings
40342,126,Tikka Masala Mild Indian Simmer Sauce,76,indian foods
34786,86,Tikka Masala Simmer Sauce,76,indian foods
9864,81,Madras Lentils Indian Cuisine,76,indian foods
22534,65,Kashmiri Curry Mild Indian Simmer Sauce,76,indian foods
19385,58,Channa Masala Indian Cuisine,76,indian foods
42110,764,Organic Macaroni Shells & Real Aged Cheddar,4,instant foods
35004,729,Macaroni Shells & White Cheddar Cheese,4,instant foods
1090,610,Shells & Real Aged Cheddar Macaroni & Cheese,4,instant foods
36772,591,Bunny Pasta with Yummy Cheese Macaroni & Cheese,4,instant foods
18599,482,Garlic Couscous,4,instant foods
2966,1310,Pure Coconut Water,98,juice nectars
42719,835,Natural Premium Coconut Water,98,juice nectars
18811,828,Organic Apple Juice,98,juice nectars
19173,752,Orange Calcium & Vitamin D Pulp Free,98,juice nectars
14715,680,Coconut Water,98,juice nectars
7299,66,Primordial Himalayan Sea Salt,10,kitchen supplies
6061,61,Wax Paper,10,kitchen supplies
30214,54,Half Steam Pan,10,kitchen supplies
42477,34,Pitcher Replacement Filters,10,kitchen supplies
21025,23,Lasagna Pans,10,kitchen supplies
48784,103,Lightly Breaded Fish Sticks,33,kosher foods
17731,68,Gluten Free Matzo-Style Squares,33,kosher foods
16668,57,Bamba Peanut Snack,33,kosher foods
15602,45,Egg Matzos,33,kosher foods
9465,36,Matzos,33,kosher foods
2450,710,Taco Seasoning,30,latino foods
39430,371,New Mexico Taco Skillet Sauce For Chicken,30,latino foods
35167,285,Organic Spicy Taco Seasoning,30,latino foods
18849,202,Red Chile Enchilada Sauce,30,latino foods
17264,172,Stand 'n Stuff Taco Shells,30,latino foods
204,355,Free & Clear Natural Laundry Detergent For Sensitive Skin,75,laundry
605,276,Natural Liquid Laundry Detergent - Blue Eucalyptus and Lavender,75,laundry
9358,195,April Fresh Liquid Fabric Softener,75,laundry
5748,178,Free and Gentle High Efficiency Liquid Laundry Detergent,75,laundry
37357,171,"Natural Laundry Detergent, Free & Clear 33",75,laundry
27344,3144,Uncured Genoa Salami,96,lunch meat
22963,2043,Organic Roasted Turkey Breast,96,lunch meat
40310,1488,Oven Roasted Turkey Breast,96,lunch meat
42342,1485,Roasted Turkey Breast,96,lunch meat
19019,955,Uncured Slow Cooked Ham,96,lunch meat
43129,638,Panko Bread Crumbs,5,marinades meat preparation
49481,237,Original Barbecue Sauce,5,marinades meat preparation
23541,220,Veri Veri Teriyaki Marinade & Sauce,5,marinades meat preparation
18557,159,Original Bar BBQ Sauce,5,marinades meat preparation
48017,157,Organic Hoisin Sauce,5,marinades meat preparation
13198,1041,85% Lean Ground Beef,122,meat counter
10603,533,93% Ground Beef,122,meat counter
22888,500,90% Lean Ground Beef,122,meat counter
49236,384,80% Lean Ground Beef,122,meat counter
26324,334,Grass Fed Ground Beef,122,meat counter
27845,9270,Organic Whole Milk,84,milk
5785,3096,Organic Reduced Fat 2% Milk,84,milk
23909,2749,2% Reduced Fat Milk,84,milk
4210,2549,Whole Milk,84,milk
38689,2349,Organic Reduced Fat Milk,84,milk
43721,118,Wint-O-Green,46,mint gum
27294,104,Wrigley's Orbit Wintermint Sugar Free Gum- 3 PK,46,mint gum
34355,98,Spearmint Sugar-Free Gum,46,mint gum
35034,53,Peppermint Sugar Free Gum,46,mint gum
20367,48,Natural Mint Gum,46,mint gum
41149,1075,Organic Riced Cauliflower,100,missing
7035,329,Peanut Butter Ice Cream Cup,100,missing
38510,262,Organic Celery Bunch,100,missing
11494,229,Cookie Dough Ice Cream Chocolate Chip,100,missing
15576,224,Uncured Beef Hot Dog,100,missing
274,160,Snack Bags,87,more household
1947,130,Tulips 10 Stem,87,more household
37993,83,Coppertop AA Batteries,87,more household
42224,63,Coppertop AA Alkaline Batteries,87,more household
13370,59,Packaging Tape High Performance,87,more household
9047,281,Premium Epsom Salt,133,muscles joints pain relief
36534,177,Epsom Salt,133,muscles joints pain relief
455,70,Ibuprofen Liquid Gels,133,muscles joints pain relief
8229,52,Pain Reliever and Fever Reducer Tablets,133,muscles joints pain relief
3399,51,Pain Relief Tablets,133,muscles joints pain relief
5134,917,Organic Thompson Seedless Raisins,117,nuts seeds dried fruit
35140,876,Organic Whole Cashews,117,nuts seeds dried fruit
7503,849,Whole Almonds,117,nuts seeds dried fruit
12845,774,Chopped Walnuts,117,nuts seeds dried fruit
20734,760,Organic Medjool Dates,117,nuts seeds dried fruit
31506,3675,Extra Virgin Olive Oil,19,oils vinegars
21195,1033,Organic Extra Virgin Olive Oil,19,oils vinegars
10644,982,Italian Extra Virgin Olive Oil,19,oils vinegars
18963,716,Apple Cider Vinegar,19,oils vinegars
4461,693,Organic Raw Unfiltered Apple Cider Vinegar,19,oils vinegars
29418,300,Fluoride-Free Antiplaque & Whitening Peppermint Toothpaste,20,oral hygiene
3007,164,Natural Anticavity Silly Strawberry Fluoride Toothpaste for Children,20,oral hygiene
2272,145,Peppermint,20,oral hygiene
26606,142,Simply White Natural Clean Mint Fluoride Toothpaste,20,oral hygiene
35206,131,Whitening Plus Scope Crest Complete Whitening + Scope Multi-Benefit Minty Fresh Striped Toothpaste 6.2oz Dentifrice,20,oral hygiene
38662,315,Roasted Almond Butter,6,other
26756,146,Light CocoWhip! Coconut Whipped Topping,6,other
32115,92,93/7 Ground Beef,6,other
20406,79,Roasted Unsalted Almonds,6,other
39461,60,Coffee Mate French Vanilla Creamer Packets,6,other
42828,2051,Whipped Cream Cheese,108,other creams cheeses
42701,1892,Organic Sour Cream,108,other creams cheeses
23734,1735,Sour Cream,108,other creams cheeses
27323,899,Pure & Natural Sour Cream,108,other creams cheeses
21333,860,Original Whipped Cream Cheese,108,other creams cheeses
22035,3924,Organic Whole String Cheese,21,packaged cheese
33731,3210,Grated Parmesan,21,packaged cheese
4799,2508,Shredded Parmesan,21,packaged cheese
40604,2477,Feta Cheese Crumbles,21,packaged cheese
7781,2429,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese,21,packaged cheese
34530,584,Organic Chicken Thighs,7,packaged meat
46990,402,Ground Buffalo,7,packaged meat
17454,236,Organic 90% Ground Beef,7,packaged meat
39534,194,Grilled Chicken Strips,7,packaged meat
